#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 37, 38, -
 0, 35, 38, -
 0, 27, 37, -
 0, 22, 37, -
 0, 21, 37, -
 0, 22, 40, -
 0, 106, 44, -
 0, 75, 40, -
 0, 41, 39, -
 0, 36, 39, -
 0, 35, 38, -
 0, 35, 38, -
 0, 17, 37, -
 0, 14, 36, -
 0, 13, 36, -
 0, 13, 36, -
 0, 13, 36, -
 0, 13, 36, -
 0, 13, 36, -
 0, 13, 36, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 35, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 34, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 13, 34, -
 0, 13, 34, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 33, -
 0, 13, 32, -
 0, 13, 32, -
 0, 13, 32, -
 0, 13, 32, -
 0, 13, 32, -
 0, 13, 32, -
 0, 13, 32, -
 0, 13, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 13, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 32, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 13, 31, -
 0, 13, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 31, -
 0, 12, 30, -
 0, 12, 31, -
 0, 12, 31, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 12, 30, -
 0, 12, 30, -
 0, 13, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 29, -
 0, 12, 30, -
 0, 12, 30, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 28, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 28, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 28, -
 0, 12, 29, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 29, -
 0, 12, 28, -
 0, 12, 29, -
 0, 12, 29, -
 0, 12, 28, -
 0, 12, 29, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 29, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 28, -
 0, 12, 28, -
