#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 14, 32, -
 0, 33, 32, -
 0, 34, 32, -
 0, 34, 32, -
 0, 34, 33, -
 0, 41, 36, -
 0, 110, 38, -
 0, 110, 39, -
 0, 101, 36, -
 0, 39, 35, -
 0, 36, 33, -
 0, 22, 33, -
 0, 21, 33, -
 0, 36, 34, -
 0, 33, 34, -
 0, 27, 33, -
 0, 21, 33, -
 0, 17, 32, -
 0, 22, 35, -
 0, 108, 39, -
 0, 112, 40, -
 0, 106, 38, -
 0, 42, 36, -
 0, 35, 34, -
 0, 21, 34, -
 0, 21, 34, -
 0, 32, 35, -
 0, 34, 35, -
 0, 29, 34, -
 0, 20, 33, -
 0, 14, 33, -
 0, 14, 33, -
 0, 90, 40, -
 0, 112, 41, -
 0, 113, 41, -
 0, 56, 36, -
 0, 39, 35, -
 0, 21, 34, -
 0, 14, 34, -
 0, 22, 36, -
 0, 43, 35, -
 0, 34, 35, -
 0, 22, 34, -
 0, 18, 34, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 14, 34, -
 0, 73, 40, -
 0, 113, 41, -
 0, 114, 42, -
 0, 68, 37, -
 0, 40, 36, -
 0, 27, 35, -
 0, 19, 35, -
 0, 16, 34, -
 0, 40, 36, -
 0, 33, 35, -
 0, 23, 35, -
 0, 21, 34, -
 0, 15, 34, -
 0, 48, 38, -
 0, 112, 41, -
 0, 112, 42, -
 0, 83, 39, -
 0, 40, 37, -
 0, 28, 35, -
 0, 22, 35, -
 0, 21, 35, -
 0, 36, 36, -
 0, 34, 36, -
 0, 26, 35, -
 0, 18, 34, -
 0, 14, 34, -
 0, 27, 38, -
 0, 107, 41, -
 0, 111, 42, -
 0, 107, 40, -
 0, 40, 38, -
 0, 36, 36, -
 0, 21, 35, -
 0, 14, 35, -
 0, 33, 36, -
 0, 36, 36, -
 0, 30, 35, -
 0, 22, 35, -
 0, 15, 35, -
 0, 15, 36, -
 0, 99, 42, -
 0, 113, 43, -
 0, 110, 41, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 44, 38, -
 0, 36, 37, -
 0, 23, 36, -
 0, 21, 36, -
 0, 29, 37, -
 0, 38, 37, -
 0, 32, 36, -
 0, 22, 35, -
 0, 19, 35, -
 0, 14, 35, -
 0, 84, 42, -
 0, 113, 43, -
 0, 114, 43, -
 0, 54, 38, -
 0, 39, 37, -
 0, 23, 36, -
 0, 22, 36, -
 0, 24, 38, -
 0, 43, 37, -
 0, 34, 37, -
 0, 22, 36, -
 0, 16, 35, -
 0, 14, 35, -
 0, 64, 39, -
 0, 113, 42, -
 0, 114, 43, -
 0, 75, 40, -
 0, 40, 38, -
 0, 28, 36, -
 0, 15, 36, -
 0, 14, 36, -
 0, 41, 37, -
 0, 37, 37, -
 0, 25, 36, -
 0, 20, 36, -
 0, 15, 35, -
 0, 36, 39, -
 0, 113, 43, -
 0, 113, 43, -
 0, 91, 40, -
 0, 40, 38, -
 0, 32, 37, -
 0, 22, 36, -
 0, 19, 36, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 35, 37, -
 0, 34, 37, -
 0, 27, 36, -
 0, 22, 36, -
 0, 17, 36, -
 0, 22, 39, -
 0, 109, 43, -
 0, 112, 43, -
 0, 108, 41, -
 0, 40, 39, -
 0, 35, 37, -
 0, 22, 37, -
 0, 22, 36, -
 0, 34, 38, -
 0, 37, 37, -
 0, 30, 36, -
 0, 20, 36, -
 0, 14, 36, -
 0, 14, 36, -
 0, 89, 43, -
 0, 115, 44, -
 0, 115, 44, -
 0, 50, 39, -
 0, 38, 38, -
 0, 20, 37, -
 0, 14, 36, -
 0, 22, 39, -
 0, 45, 38, -
 0, 36, 37, -
 0, 22, 36, -
 0, 17, 36, -
 0, 14, 36, -
 0, 72, 42, -
 0, 112, 43, -
 0, 114, 44, -
 0, 71, 39, -
 0, 40, 39, -
 0, 25, 37, -
 0, 22, 37, -
 0, 18, 37, -
 0, 41, 38, -
 0, 35, 38, -
 0, 23, 36, -
 0, 22, 36, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 15, 36, -
 0, 48, 39, -
 0, 114, 43, -
 0, 113, 44, -
 0, 82, 41, -
 0, 40, 39, -
 0, 30, 37, -
 0, 22, 37, -
 0, 21, 37, -
 0, 37, 38, -
 0, 36, 38, -
 0, 26, 37, -
 0, 18, 36, -
 0, 14, 36, -
 0, 27, 39, -
 0, 113, 43, -
 0, 112, 44, -
 0, 106, 41, -
 0, 40, 39, -
 0, 35, 38, -
 0, 18, 37, -
 0, 14, 36, -
 0, 33, 38, -
 0, 36, 38, -
 0, 30, 37, -
 0, 22, 36, -
 0, 16, 36, -
 0, 15, 36, -
 0, 100, 43, -
 0, 112, 44, -
 0, 112, 44, -
 0, 52, 39, -
 0, 38, 38, -
 0, 23, 37, -
 0, 21, 37, -
 0, 29, 38, -
 0, 38, 38, -
 0, 32, 37, -
 0, 22, 37, -
 0, 19, 36, -
 0, 15, 36, -
 0, 82, 43, -
 0, 112, 44, -
 0, 112, 44, -
#gpu, pwr, gtemp, mtemp
#Idx, W, C, C
 0, 65, 39, -
 0, 40, 38, -
 0, 23, 37, -
 0, 22, 37, -
 0, 27, 39, -
 0, 40, 38, -
 0, 33, 38, -
 0, 19, 37, -
 0, 15, 36, -
 0, 14, 36, -
 0, 55, 39, -
